song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs,0.837,0.571,5,-8.273,0,0.0922,0.61,0.000898,0.0849,0.801,125.034,205680,4
The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB,0.54,0.561,0,-6.987,0,0.0699,0.0635,0.0,0.137,0.107,113.295,242253,4
Just Like Fire,Pink,7K5dzhGda2vRTaAWYI3hrb,0.632,0.701,7,-5.921,1,0.146,0.0114,0.0,0.108,0.497,162.958,215414,4
Broccoli,D.R.A.M. featuring Lil Yachty,0qy5D3OJre7SPJNMOL9I71,0.886,0.525,8,-7.39,1,0.132,0.236,0.0,0.057,0.708,145.99,225205,4
Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC,0.765,0.356,11,-5.556,0,0.196,0.222,0.0,0.0963,0.19,97.001,198293,4
Dangerous Woman,Ariana Grande,7l94dyN2hX9c6wWcZQuOGJ,0.672,0.605,7,-5.353,1,0.0378,0.0499,0.0,0.357,0.297,134.015,235947,3
Jumpman,Drake and Future,27GmP9AWRs744SzKcpJsTZ,0.853,0.547,1,-7.535,1,0.194,0.0565,0.0,0.341,0.676,142.065,205879,4
"I Hate U, I Love U",Gnash featuring Olivia O'Brien,7vRriwrloYVaoAe3a9wJHe,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,251034,4
Here,Alessia Cara,1wYZZtamWTQAoj8B812uKQ,0.375,0.822,0,-4.029,1,0.167,0.0716,0.0,0.0694,0.353,123.363,199453,4
Same Old Love,Selena Gomez,1BZG99C7Co1r6QUC3zaS59,0.671,0.596,11,-4.005,0,0.031,0.0236,0.0,0.228,0.444,98.025,229080,4
Controlla,Drake,4CpKEkdGbOJV51cSvx7SoG,0.747,0.477,10,-11.062,0,0.276,0.0962,0.0,0.114,0.321,93.44,245227,4
Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,3
One Call Away,Charlie Puth,7soJgKhQTO8hLP2JPRkL5O,0.667,0.613,1,-5.353,1,0.0344,0.403,0.0,0.115,0.47,91.024,194453,4
Let It Go,James Bay,13HVjjWUZFaWilh2QUJKsP,0.568,0.293,1,-10.253,1,0.0313,0.804,1.26e-05,0.107,0.247,147.175,260533,4
No,Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc,0.557,0.801,1,-3.602,0,0.218,0.0125,1.66e-06,0.737,0.654,92.135,213507,4
Never Forget You,Zara Larsson and MNEK,6hmhG1b4LEyNuashVvuIAo,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428,4
Let Me Love You,DJ Snake featuring Justin Bieber,0lYBSQXN6rCTvUZvg9S0lU,0.652,0.713,8,-5.311,1,0.0368,0.0771,1.02e-05,0.144,0.152,100.023,205947,4
Don't Mind,Kent Jones,27PmvZoffODNFW2p7ehZTQ,0.464,0.771,8,-4.503,1,0.336,0.0235,0.0,0.063,0.69,158.777,198237,4
H.O.L.Y.,Florida Georgia Line,0BCy325UZyR9z0t0uxwn2N,0.525,0.685,7,-3.954,0,0.0351,0.385,0.0,0.0731,0.54,78.003,194187,4
We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,37FXw5QGFN7uwwsLy8uAc0,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,217707,4
Into You,Ariana Grande,2meEiZKWkiN28gITzFwQo5,0.636,0.728,9,-5.871,1,0.0999,0.0153,1.46e-06,0.154,0.384,107.986,244453,4
Gold,Kiiara,6ZSO7kPn8IMJFymyticbJO,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,225882,5
Exchange,Bryson Tiller,43PuMrRfbyyuz4QpZ3oAwN,0.53,0.433,6,-10.598,1,0.185,0.108,0.0,0.135,0.274,160.14,194613,4
679,Fetty Wap featuring Remy Boyz,5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,196693,4
Oui,Jeremih,0PJIbOdMs3bd5AT8liULMQ,0.715,0.703,5,-3.825,1,0.0503,0.192,0.0,0.113,0.596,119.749,238320,4
Hands to Myself,Selena Gomez,1LoriJC05IrHIDwj3q0KC1,0.803,0.504,5,-7.218,0,0.0979,0.0165,5.25e-06,0.335,0.498,111.014,200680,4
2 Phones,Kevin Gates,0wdKiSBUT7aZkXUIdJWcwC,0.895,0.681,7,-5.267,0,0.358,0.157,0.0,0.189,0.554,121.918,240000,4
Starboy,The Weeknd featuring Daft Punk,7MXVkk9YMctZqd1Srtv4MB,0.675,0.595,7,-7.033,1,0.284,0.168,3.36e-06,0.136,0.491,185.998,230453,4
For Free,DJ Khaled featuring Drake,4JDZl9nKIAhAhDjw753u4X,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11e-06,0.153,0.498,103.521,183695,4
Never Be Like You,Flume featuring Kai,47zREtxQZ3cHHIZwUQnuuN,0.564,0.552,0,-5.438,1,0.055,0.439,0.0,0.163,0.26,119.907,233337,4
In the Night,The Weeknd,25KybV9BOUlvcnv7nN3Pyo,0.317,0.683,7,-4.989,1,0.134,0.0794,0.0,0.0465,0.538,167.615,235653,3
Me Too,Meghan Trainor,3KwwE4sgCzMaKWq6QBebmX,0.934,0.694,11,-5.849,0,0.101,0.0962,1.2e-06,0.478,0.835,123.829,181240,4
Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,7,-2.879,1,0.0848,0.0183,0.0,0.0576,0.453,139.986,202173,4
Die a Happy Man,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n,0.66,0.383,2,-9.377,1,0.0304,0.381,0.0,0.119,0.381,83.096,227427,4
White Iverson,Post Malone,6eT7xZZlB2mwyzJ2sUKG6w,0.674,0.568,7,-7.678,1,0.0349,0.216,0.0,0.0863,0.321,130.081,256533,4
Close,Nick Jonas featuring Tove Lo,3lSDIJ2abCrOdDJ6pshUap,0.667,0.624,6,-5.397,0,0.0698,0.258,0.0,0.145,0.39,124.012,234213,4
Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I,0.598,0.673,9,-6.134,0,0.0469,0.177,0.000316,0.203,0.255,117.02,193546,4
Sucker for Pain,"Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla $ign featuring X Ambassadors",4dASQiO1Eoo3RJvt74FtXB,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,243491,4
Down in the DM,Yo Gotti featuring Nicki Minaj,1LxKKYsJNPeBdOwdudsJzv,0.776,0.662,1,-7.016,0,0.0489,0.00157,2.1e-05,0.0887,0.324,152.927,182733,4
Luv,Tory Lanez,16Ah4QqH4mgYVXqfC4mdSd,0.487,0.532,11,-8.129,0,0.245,0.0129,0.0,0.123,0.243,138.13,228640,3
Sorry,Beyoncé,4k8Kq3yLE7I7umYfN08YCU,0.536,0.11,11,-17.493,0,0.0482,0.942,0.00106,0.1,0.169,129.935,179435,4
Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81,0.711,0.783,9,-5.407,0,0.0423,0.109,0.0,0.0947,0.587,107.972,213520,4
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,0.49,0.743,0,-5.155,0,0.0409,0.255,7.21e-06,0.3,0.363,89.974,258827,4
Say It,Tory Lanez,2Gyc6e2cLxA5hoX1NOvYnU,0.384,0.512,4,-10.545,0,0.0753,0.0798,1.19e-05,0.129,0.234,107.241,237787,4
Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,4
Lost Boy,Ruth B,4h0zU3O9R5xzuTmNO7dNDU,0.71,0.0565,7,-15.099,1,0.0534,0.965,0.0,0.0889,0.348,123.994,275280,4
Side to Side,Ariana Grande featuring Nicki Minaj,1pKeFVVUOPjFsOABub0OaV,0.65,0.728,6,-5.914,0,0.232,0.0373,0.0,0.328,0.619,159.167,226160,4
"Sit Still, Look Pretty",Daya,0EGuSSpuu9wmHCtvb4PdLO,0.657,0.739,2,-4.081,1,0.274,0.141,0.0,0.178,0.543,181.994,202221,4
Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw,0.556,0.688,8,-7.328,1,0.0856,0.0612,0.00256,0.112,0.459,140.011,220440,4
Middle,DJ Snake featuring Bipolar Sunshine,0g5EKLgdKvNlln7TNqBByK,0.586,0.701,1,-5.326,0,0.0416,0.0203,0.0,0.055,0.254,104.957,220573,4
On My Mind,Ellie Goulding,4nS1sut0R2mgmFitKIShVe,0.697,0.687,2,-6.574,0,0.0537,0.279,5.11e-06,0.0861,0.75,154.921,213445,4
Pop Style,Drake featuring The Throne,23NWj2izXAJ4yL6Nah73wf,0.795,0.482,11,-8.995,1,0.22,0.234,3.99e-06,0.104,0.0602,132.985,209453,4
When We Were Young,Adele,7IWkJwX9C0J7tHurTD7ViL,0.381,0.594,3,-5.97,1,0.0486,0.348,0.0,0.0925,0.273,143.86,290907,4
Hide Away,Daya,0uyZ5ckiIUbFZd3P6RWmrj,0.885,0.801,11,-4.716,0,0.0882,0.225,1.65e-06,0.0733,0.466,95.011,192376,4
Lean On,Major Lazer and DJ Snake featuring MØ,5wldXGLEOoRXxMWJ8rIUWE,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4
I Know What You Did Last Summer,Shawn Mendes and Camila Cabello,2GyA33q5rti5IxkMQemRDH,0.695,0.774,9,-4.543,0,0.0944,0.112,0.0,0.148,0.744,114.043,223853,4
All the Way Up,"Fat Joe, Remy Ma and Jay Z featuring French Montana and Infared",61QSuw5VlC0LTS8WMO356g,0.536,0.721,10,-6.44,0,0.386,0.062,0.0,0.824,0.393,117.139,191942,5
Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr,0.825,0.77,8,-8.508,1,0.134,0.265,0.0,0.334,0.965,139.982,185131,4
Back to Sleep,Chris Brown,6dlpABcXrQKRU9G00i6Zba,0.647,0.646,9,-5.483,0,0.243,0.0424,0.0,0.0888,0.721,92.981,201253,4
No Limit,Usher featuring Young Thug,4DRDMf5vftalExCy0fHbHl,0.717,0.516,10,-6.466,0,0.0601,0.0794,0.0,0.164,0.258,127.026,228905,4
Cut It,O.T. Genasis featuring Young Dolph,376KnY4TrgBITxjlnbnmIy,0.875,0.673,7,-4.184,1,0.0932,0.135,0.0,0.292,0.231,130.0,222600,4
Really Really,Kevin Gates,10I3CmmwT0BkOVhduDy53o,0.762,0.666,0,-6.055,1,0.0916,0.00427,0.0,0.127,0.278,118.97,232093,4
All In My Head (Flex),Fifth Harmony featuring Fetty Wap,7nD9nN3jord9wWcfW3Gkcm,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,210573,4
Starving,Hailee Steinfeld and Grey featuring Zedd,4Ce37cRWvM1vIGGynKcs22,0.712,0.62,4,-4.187,1,0.0888,0.39,0.0,0.0994,0.494,99.953,181880,4
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,0.638,0.924,7,-3.887,1,0.0359,0.00205,0.000173,0.149,0.529,111.995,263787,4
Humble and Kind,Tim McGraw,3Rkk851fZjIsglV2jbBPDd,0.349,0.486,11,-7.232,1,0.0289,0.693,1.73e-06,0.122,0.158,101.053,257360,3
Wicked,Future,6BbINUfGabVyiNFJpQXn3x,0.718,0.679,11,-5.899,0,0.0706,0.00191,0.0104,0.385,0.205,157.97,173347,4
Tiimmy Turner,Desiigner,3NJG6vMH1ZsectZkocMEm0,0.597,0.743,6,-3.095,1,0.042,0.181,0.0,0.0796,0.299,122.798,239853,4
See You Again,Wiz Khalifa featuring Charlie Puth,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526,4
Perfect,One Direction,3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4
