song,artist,id
Amnesia,5 Seconds of Summer,1JCCdiru7fhstOIF4N7WJC
No Mediocre,T.I. featuring Iggy Azalea,38aECKrbMv2F5FsYYCewCQ
Come with Me Now,KONGOS,2kWowW0k4oFymhkr7LmvzO
Believe Me,Lil Wayne featuring Drake,6t2eIONH4Sax3R21QWiKNp
23,"Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",20FZrLl9zSbO9b3DhaqO6M
Beachin',Jake Owen,5dNGORzxFb5z3v7vSAFkTU
White Walls,Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,6I3KeXBT0E9MoMqYz8srVq
She Looks So Perfect,5 Seconds of Summer,1gugDOSMREb34Xo0c1PlxM
Stay the Night,Zedd featuring Hayley Williams,2QtJA4gbwe1AcanB2p21aP
Partition,Beyoncé,5hgnY0mVcVetszbb85qeDg
Studio,ScHoolboy Q featuring BJ the Chicago Kid,29gsi1zZrZxdStACmTQB0Z
0 to 100 / The Catch Up,Drake,4jtyUzZm9WLc2AdaJ1dso7
I Don't Dance,Lee Brice,5aj0xPGiEUN3aI2oOYu14S
Somethin' Bad,Miranda Lambert and Carrie Underwood,6s9m5J92By7jii22Q2XtY2
Adore You,Miley Cyrus,5AnCLGg35ziFOloEnXK4uu
