song,artist,id
We Are Never Ever Getting Back Together,Taylor Swift,7AEAGTc8cReDqcbPoY9gwo
As Long as You Love Me,Justin Bieber featuring Big Sean,0pwYLVXVknPSGUQb39cePC
Turn Me On,David Guetta featuring Nicki Minaj,6JOlNkT0QdHeZB0wPbI9IR
Moves like Jagger,Maroon 5 featuring Christina Aguilera,6V96SdYTeLb6J1JwBKvmZx
Blow Me (One Last Kiss),Pink,6LS6pltO7YBgjwNVhxMwtp
Good Time,Owl City and Carly Rae Jepsen,1kPpge9JDLpcj15qgrPbYX
Give Your Heart a Break,Demi Lovato,3sP3c86WFjOzHHnbhhZcLA
Niggas in Paris,Jay-Z and Kanye West,2KpCpk6HjXXLb7nnXoXA5O
The One That Got Away,Katy Perry,3oL3XRtkP1WVbMxf7dtTdu
Feel So Close,Calvin Harris,1oRpmxf7EeAOoYb3ORzu99
Someone like You,Adele,4kflIGfjdZJW4ot2ioixTB
Scream,Usher,5sAlmL7Qp9N9BJTADkwEt9
Rack City,Tyga,0srwKuJPH8yBzzFUJMBQM2
Domino,Jessie J,6MAdEUilV2p9RQUqE5bMAK
Gangnam Style,Psy,03UrZgTINDqvnUMbbIMhql
International Love,Pitbull featuring Chris Brown,62zFEHfAYl5kdHYOivj4BC
Home,Phillip Phillips,2ZQyksYO4zzhyHNcueL0CP
Without You,David Guetta featuring Usher,7rGMKCgeYXpBecQ1FPb3oc
Ass Back Home,Gym Class Heroes featuring Neon Hitch,3bfqkspKABT4pPicm6wC9F
Wanted,Hunter Hayes,0p1BcEcYVO3uk4KDf3gzkY
Drunk on You,Luke Bryan,3b7CDTKB0SRTmQ6ytYi5vZ
No Lie,2 Chainz featuring Drake,4TyY4vah59nsckspWdSGPn
Want U Back,Cher Lloyd,6E11E0lT5Zy7yb6iT3y8DN
Don't Wake Me Up,Chris Brown,12Ns5IphkblPmHxpRILG9t
Dance (A$$),Big Sean featuring Nicki Minaj,3OVLPcUPS0HbMeAeMP0jZ4
Springsteen,Eric Church,05ZACkzW8YbRq3eFgIfSNB
Brokenhearted,Karmin,4urcG6Nfubqsuqy3juMjBi
Not Over You,Gavin DeGraw,6j7hih15xG2cdYwIJnQXsq
Stereo Hearts,Gym Class Heroes featuring Adam Levine,0qOnSQQF0yzuPWsXrQ9paz
Back in Time,Pitbull,2U2ONBrf1HJCDxQlynpD6J
Work Out,J. Cole,6rbeWjEavBHvX2kr6lSogS
Rumour Has It,Adele,76N7FdzCI9OsiUnzJVLY2m
Let's Go,Calvin Harris featuring Ne-Yo,4wkQmYpAaMe41Rc3sYZ7Vz
Good Girl,Carrie Underwood,20DfkHC5grnKNJCzZQB6KC
Pontoon,Little Big Town,2Gy3XMLbBxACZ4tXdFRGr7
Ho Hey,The Lumineers,0W4Kpfp1w2xkY3PrV714B7
Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D
Blown Away,Carrie Underwood,0vFMQi8ZnOM2y8cuReZTZ2
Rolling in the Deep,Adele,1CkvWZme3pRgbzaxZnTl5X
Climax,Usher,6cNajGUxKP53LIg0LzlfQt
"Work Hard, Play Hard",Wiz Khalifa,1ms5tNNdPouTtcD2oVF9Oz
Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,1Ejsu5JglwIgrFW7Bt2GuL
Pound the Alarm,Nicki Minaj,5kcE7pp02ezLZaUbbMv3Iq
Come Over,Kenny Chesney,6BCrbWBpb8d6KWmEqZ41tr
Heart Attack,Trey Songz,1J36RjF8Mx8Yp2QWvFSPmv
Drank in My Cup,Kirko Bangz,3m8CQnnfJJp4eQMWWl3zay
Birthday Cake,Rihanna featuring Chris Brown,4EfN6bixdOOgoLYR5C4cWo
So Good,B.o.B,28GUjBGqZVcAV4PHSYzkj2
50 Ways to Say Goodbye,Train,2NniAhAtkRACaMeYt48xlD
Red Solo Cup,Toby Keith,47nm8czanMUzIqHsnr5x61
Love You like a Love Song,Selena Gomez & the Scene,0laYHRpNTS6i8FXdupHkJ4
Turn Up the Music,Chris Brown,0UlHiqi7seV02XNHLMtfGK
Die Young,Kesha,6mnjcTmK8TewHfyOp3fC9C
5 O'Clock,T-Pain featuring Wiz Khalifa and Lily Allen,6j236RwzFFj4wqH2tWJNBD
A Thousand Years,Christina Perri,6lanRgr6wXibZr8KgzXxBl
Take a Little Ride,Jason Aldean,2o5mwv7hvas1jdUg14Nihv
You da One,Rihanna,3Yt9lRtS5V4nbJnwcgFgvC
We Run the Night,Havana Brown featuring Pitbull,0mtPNQl5vePVwiI9Vykp7L
It's Time,Imagine Dragons,6BtmXhTJMM9sBTHeYYASGz
Cashin' Out,Cash Out,1POAx4NMLOBPVKZUSsBh92
I Don't Want This Night to End,Luke Bryan,0cV4xwUA4ue2deqq4CZFko
Diamonds,Rihanna,7Kt59L2ZZGtOnIhvMwzG6f
Hard to Love,Lee Brice,6E9V9TRlVOLjenGjHemzEH
Somethin' 'Bout a Truck,Kip Moore,6Ymvlzom4TQeoKqAWsZRD8
Adorn,Miguel,25cUhiAod71TIQSNicOaW3
Fly Over States,Jason Aldean,17X2tSzibD9n9QRjdExcWT
Even If It Breaks Your Heart,Eli Young Band,0Nu9WA8kEbBWEsay2s8Q0U
Burn It Down,Linkin Park,7oVEtyuv9NBmnytsCIsY5I
