song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Jealous,Nick Jonas,2RqtfcLB7iOZj0zYB8Auhu,0.699,0.697,11,-3.812,0,0.116,0.0109,0.0,0.482,0.382,93.012,223107,4
Time of Our Lives,Pitbull and Ne-Yo,2bJvI42r8EF3wxjOuDav4r,0.72,0.802,1,-5.797,1,0.0582,0.0921,0.0,0.694,0.723,124.043,229360,4
Locked Away,R. City featuring Adam Levine,0sQLhT32E9ZG2zn5iYR6nN,0.508,0.677,1,-5.696,1,0.0656,0.328,0.0,0.0491,0.575,121.928,227280,5
Somebody,Natalie La Rose featuring Jeremih,7ioiB40H9xKs04QtIso2I3,0.842,0.531,0,-8.729,1,0.0377,0.000979,1.34e-05,0.0667,0.765,105.013,189907,4
FourFiveSeconds,"Rihanna, Kanye West, and Paul McCartney",78TTtXnFQPzwqlbtbwqN0y,0.576,0.267,2,-5.668,1,0.044,0.878,0.0,0.119,0.326,205.888,188238,4
Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq,0.385,0.866,4,-2.817,0,0.0697,0.004,0.0,0.111,0.551,176.014,228360,4
My Way,Fetty Wap featuring Monty,1WoOzgvz6CgH4pX6a1RKGp,0.748,0.741,6,-3.103,1,0.0531,0.00419,0.0,0.147,0.537,128.077,213053,4
Take Your Time,Sam Hunt,6DEaND0SHv3sC11xobZLiy,0.551,0.719,11,-5.631,1,0.0416,0.0869,0.0,0.219,0.449,158.08,243707,4
Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x,0.465,0.744,4,-6.429,0,0.0635,0.00018,0.0,0.68,0.339,189.928,231013,4
I Don't Fuck with You,Big Sean featuring E-40,7FYH5AW3bVfZHJIQpq3UOA,0.822,0.734,1,-5.48,1,0.0738,0.0372,0.0,0.325,0.425,97.998,284387,4
Bitch Better Have My Money,Rihanna,0NTMtAO2BV4tnGvw9EgBVq,0.778,0.741,10,-4.97,0,0.0484,0.0538,2.04e-06,0.29,0.364,102.95,219306,4
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2LLFl56eIFGFlnrplUC26f,0.728,0.62,2,-7.533,1,0.0434,0.038,0.0,0.342,0.885,81.998,176675,4
Nasty Freestyle,T-Wayne,0PT7nlpo11hYYyfnBgtilT,0.779,0.472,11,-7.116,1,0.218,0.0577,0.0,0.114,0.412,135.051,142212,4
Only,"Nicki Minaj featuring Drake, Lil Wayne, and Chris Brown",4MRT0dDbhqFKl67WzhUbSw,0.67,0.485,8,-7.272,0,0.737,0.409,0.0,0.0973,0.242,119.886,312027,4
Elastic Heart,Sia,5S9lfZu1YF8xKkgSsqL2Bd,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4
Cool for the Summer,Demi Lovato,2zFF6jG5hQArbzcXz3KUWk,0.584,0.614,5,-5.587,0,0.0363,0.00506,9.7e-05,0.0802,0.28,114.075,214740,4
Renegades,X Ambassadors,0fYVliAYKHuPmECRs1pbRf,0.4,0.868,11,-5.988,0,0.203,0.0112,0.0685,0.27,0.57,180.261,195199,4
I Don't Mind,Usher featuring Juicy J,7aXuop4Qambx5Oi3ynsKQr,0.87,0.464,4,-8.337,1,0.178,0.205,0.0,0.0902,0.457,112.974,251989,4
Love Me Harder,Ariana Grande and The Weeknd,5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133,4
Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw,0.556,0.688,8,-7.328,1,0.0856,0.0612,0.00256,0.112,0.459,140.011,220440,4
Stay with Me,Sam Smith,5Db9VIdDsN5yu3Eu7CT0i4,0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,172724,4
You Know You Like It,DJ Snake and AlunaGeorge,57kR5SniQIbsbVoIjjOUDa,0.426,0.722,5,-5.369,0,0.196,0.0113,1.27e-06,0.262,0.25,196.133,247267,4
Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr,0.623,0.956,4,-2.608,0,0.0753,0.119,0.000227,0.617,0.739,149.958,211573,4
11-Jul,Beyoncé,02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,213507,4
The Heart Wants What It Wants,Selena Gomez,2dRvMEW4EwySxRUtEamSfG,0.616,0.778,7,-4.927,0,0.0387,0.0545,0.0,0.142,0.655,83.065,227360,4
Girl Crush,Little Big Town,11qh54D0PKkBwelpDxxiEU,0.513,0.221,0,-10.233,1,0.0302,0.822,0.0,0.113,0.354,173.865,193320,3
Slow Motion,Trey Songz,4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947,197854,4
Drag Me Down,One Direction,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4
Truffle Butter,"Nicki Minaj featuring Drake, and Lil Wayne",3keUgTGEoZJt0QkzTB6kHg,0.896,0.672,10,-6.875,0,0.0479,0.0525,3.14e-05,0.12,0.523,105.098,219227,4
One Last Time,Ariana Grande,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
Chains,Nick Jonas,5Eg4TsPcqNbIjd8ADMZosg,0.538,0.601,0,-5.901,0,0.0472,0.014,0.0,0.0723,0.169,151.895,203107,4
All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj,0hy1SOTEn9ifXTzOwnCwEr,0.589,0.658,11,-5.288,0,0.203,0.0242,0.0,0.118,0.251,77.521,223973,4
No Type,Rae Sremmurd,4scpF6J5uMBvoh6sFB7EL1,0.888,0.483,6,-7.797,1,0.154,0.013,4.85e-06,0.0926,0.226,125.008,200080,4
Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
Classic Man,Jidenna featuring Roman GianArthur,3G7XYAwtxtoGK7fAm4IlD9,0.79,0.585,8,-6.058,1,0.0348,0.185,0.0,0.292,0.585,94.072,226000,4
Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,7,-2.879,1,0.0848,0.0183,0.0,0.0576,0.453,139.986,202173,4
Dear Future Husband,Meghan Trainor,3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,1,-4.789,1,0.185,0.375,0.0,0.317,0.832,79.427,184227,4
Marvin Gaye,Charlie Puth featuring Meghan Trainor,6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,190453,4
Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,3
Habits (Stay High),Tove Lo,14OxJlLdcHNpgsm4DRwDOB,0.73,0.669,5,-3.494,1,0.0318,0.0664,3.63e-05,0.0822,0.383,110.04,209160,4
The Hanging Tree,James Newton Howard featuring Jennifer Lawrence,416MsJxvxSKY96DCmbJIRs,0.255,0.085,9,-17.969,0,0.0359,0.329,6.83e-05,0.201,0.109,94.26,218507,4
CoCo,O.T. Genasis,2JI71GHwq2LN8mtq3iCLYo,0.886,0.628,8,-5.949,1,0.131,0.00215,1.15e-05,0.31,0.178,119.906,239574,4
Bang Bang,"Jessie J, Ariana Grande, and Nicki Minaj",466s1BacUmiRdR3ISvNjyx,0.703,0.747,0,-4.446,0,0.0895,0.283,0.0,0.396,0.7,149.974,199320,4
Lay Me Down,Sam Smith,1fnCJ85pEhKrpU9IsxoitM,0.426,0.329,4,-9.296,1,0.0474,0.753,2.23e-05,0.11,0.177,121.351,253208,4
Tuesday,ILoveMakonnen featuring Drake,2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,321987,4
Hit the Quan,iLoveMemphis,4Kdn7vw98rMaKi3rMIZRIR,0.747,0.486,8,-8.121,1,0.352,0.000176,0.0,0.0488,0.633,160.002,181081,4
Downtown,"Macklemore and Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz",5pfJsMwoRYKampPay8amX0,0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,292593,4
House Party,Sam Hunt,1TwLKNsCnhi1HxbIi4bAW0,0.749,0.854,8,-5.245,1,0.0503,0.129,0.0,0.0262,0.842,103.952,190240,4
Ayo,Chris Brown and Tyga,0k6DnZMLoEUH8NGD5zh2SE,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,225227,4
Kick the Dust Up,Luke Bryan,5g15o2Sm55Hn9ShK5yEXgp,0.596,0.855,1,-2.255,1,0.0474,0.197,0.0,0.11,0.811,172.082,190587,4
Blessings,"Big Sean featuring Drake, and Kanye West",4UaWrzY75h1tAvlxa4NKP9,0.751,0.6,10,-8.11,0,0.395,0.285,0.0,0.128,0.137,118.397,301960,4
Budapest,George Ezra,7q0aQpiLv5tIsupcgQ3Ny4,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.81,200733,4
Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120,5
Heartbeat Song,Kelly Clarkson,7FC9Lng8iXU081lbigu8m8,0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,198733,4
Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,219840,4
Ghost,Ella Henderson,2FiceoWDJ67rrmb5tGBpgE,0.682,0.836,9,-3.777,1,0.0425,0.0464,3.13e-06,0.0797,0.485,104.987,216107,4
Here,Alessia Cara,1wYZZtamWTQAoj8B812uKQ,0.375,0.822,0,-4.029,1,0.167,0.0716,0.0,0.0694,0.353,123.363,199453,4
Waves,Mr Probz,2gGIhNmn8NaUr3LNofUIBZ,0.364,0.278,5,-12.262,0,0.0355,0.542,2.79e-05,0.38,0.2,173.652,174267,4
El Perdón,Nicky Jam and Enrique Iglesias,7qCAVkHWZkF44OzOUKf8Cr,0.628,0.69,8,-5.828,1,0.0511,0.446,0.0,0.112,0.662,179.911,205907,4
She Knows,Ne-Yo featuring Juicy J,7seTcUFOhn5caSDbiSfsp0,0.701,0.58,8,-5.864,0,0.0329,0.0301,0.0,0.538,0.58,139.992,214726,4
Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4
Back to Back,Drake,5lFDtgWsjRJu8fPOAyJIAK,0.635,0.472,8,-3.869,0,0.511,0.00898,0.0,0.117,0.373,174.008,170638,4
How Deep Is Your Love,Calvin Harris and Disciples,22mek4IiqubGD9ctzxc69s,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640,4
