song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Every Single Night,Computer Games,71erjKYTDsvcuGKP5lp3Uc,0.685,0.896,0,-5.718,1,0.0334,0.0109,0.0,0.0242,0.765,115.023,223667,4
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,4
Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4
Body Like a Back Road,Sam Hunt,7mldq42yDuxiUNn08nvzHO,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04e-06,0.103,0.631,98.963,165387,4
Up Against Me,LP,6aAHtvwGUJIIFcczWauwWc,0.744,0.763,6,-5.116,0,0.038,0.0265,0.00432,0.1,0.622,117.036,182293,4
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
Magnolia,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl,0.791,0.586,11,-7.372,0,0.29,0.012,0.0,0.46,0.413,163.029,181812,4
Rockabye,Clean Bandit feat. Anne-Marie & Sean Paul,5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,251088,4
Chanel,Frank Ocean,6Nle9hKrkL1wQpwNfEkxjh,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
(No One Knows Me) Like the Piano,Sampha,5zOnoB8FdZudDcPX4O8WqF,0.621,0.199,10,-13.788,1,0.0344,0.976,0.00186,0.107,0.178,128.905,218160,4
Bad and Boujee,Migos feat. Lil Uzi Vert,4Km5HrUvYTaSUfiSGPJeQR,0.927,0.665,11,-5.313,1,0.244,0.061,0.0,0.123,0.175,127.076,343150,4
North East South West,Japandroids,1hB1x77QvlXC10hvqaBd36,0.167,0.953,7,-2.919,1,0.0694,0.0472,0.0,0.0941,0.46,145.06,260867,4
It Ain't Me,Kygo & Selena Gomez,677RjvAT2lpYjo1Whczjzx,0.606,0.535,0,-6.545,1,0.098,0.118,0.0,0.362,0.522,99.979,216587,4
Redbone,Childish Gambino,3kxfsdsCpFgN412fpnW85Y,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,326933,4
Cut to the Feeling,Carly Rae Jepsen,6EJiVf7U0p1BBfs0qqeb1f,0.7,0.907,2,-2.747,1,0.0883,0.0121,0.000923,0.307,0.596,114.922,207960,4
Slow Hands,Niall Horan,27vTihlWXiz9f9lJM3XGVU,0.726,0.429,0,-6.623,1,0.0519,0.0133,0.0,0.0574,0.871,85.899,188174,4
Pure Comedy,Father John Misty,4kM5lBwpG1DEH9FNTsOyGP,0.463,0.271,4,-10.621,1,0.0387,0.812,0.0,0.215,0.159,130.372,383800,4
Want You Back,Haim,2wXhdaTnmkkFSOidKfnOxA,0.635,0.853,0,-3.926,1,0.048,0.121,0.0,0.371,0.372,112.964,232120,4
HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,0.904,0.611,1,-6.842,0,0.0888,0.000259,2.03e-05,0.0976,0.4,150.02,177000,4
Stay,Zedd & Alessia Cara,6uBhi9gBXWjanegOb2Phh0,0.457,0.627,5,-5.091,0,0.111,0.238,0.0,0.116,0.554,101.384,210091,4
I Know a Place,Muna,0bPSRn4crnh5f1JhELPlyL,0.685,0.9,5,-4.626,0,0.151,0.137,0.0,0.2,0.779,111.991,272813,4
The Cure,Lady Gaga,34oB5r0lcN3fYWCs2uA1k5,0.695,0.497,8,-4.884,1,0.0362,0.0808,0.0,0.0852,0.537,99.972,211364,4
Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0,0.725,0.42,8,-6.811,1,0.0811,0.427,0.0,0.061,0.424,113.975,176320,4
Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
Malibu,Miley Cyrus,2habSXqcJGExM6JJyskY7O,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,231906,4
I'm the One,"DJ Khaled feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",1jYiIOC5d6soxkJP81fxq2,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,288877,4
Hard Times,Paramore,0w5Bdu51Ka25Pf3hojsKHh,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693,4
Bad Liar,Selena Gomez,2fZQIJew3nkNe99s2PKzul,0.95,0.412,1,-6.592,1,0.0731,0.177,0.0,0.077,0.73,121.019,214648,4
I Feel It Coming,The Weeknd feat. Daft Punk,3dhjNA0jGA8vHBQ1VdD6vV,0.767,0.819,0,-5.945,0,0.127,0.44,0.0,0.0863,0.583,92.99,269187,4
Location,Khalid,152lZdxL1OR0ZMW6KquMif,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4
XO Tour Llif3,Lil Uzi Vert,2eMwDehkIC1j68U6FA3Eiq,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4
DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj,0.637,0.514,1,-6.763,1,0.365,0.0047,0.0,0.094,0.402,139.931,185947,4
Sign of the Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
Green Light,Lorde,3I4QOvltiKcMu3xmnQjEct,0.598,0.731,9,-7.776,1,0.106,0.0166,1.58e-05,0.0794,0.229,128.851,234653,4
Despacito (Remix),Luis Fonsi & Daddy Yankee feat. Justin Bieber,6rPO02ozF3bM7NnOV4h6s2,0.63,0.815,2,-4.265,1,0.152,0.222,0.0,0.091,0.813,88.357,228827,4
Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz,0.804,0.459,11,-11.556,1,0.039,0.304,0.0862,0.11,0.372,111.963,298941,4
Slide,Calvin Harris feat. Frank Ocean & Migos,6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,230813,4
